geoid,0,1,2
14000US34017007100,1.0,1.0,1.0
14000US34017013800,1.0,1.0,1.0
14000US34003043001,1.0,1.0,1.0
14000US34029735103,1.0,1.0,1.0
14000US34003047400,1.0,1.0,1.0
14000US36081000100,2.0,2.0,2.0
14000US36061016900,2.0,2.0,2.0
14000US34017002300,2.0,2.0,2.0
14000US36005027900,2.0,3.0,2.0
14000US34013014000,1.0,1.0,1.0
14000US36061023200,3.0,4.0,3.0
14000US36061012700,2.0,2.0,2.0
14000US34039035700,1.0,1.0,1.0
14000US34025809302,1.0,1.0,1.0
14000US36047055300,2.0,2.0,2.0
14000US36047022900,4.0,4.0,3.0
14000US34031124500,5.0,5.0,4.0
14000US34031196402,1.0,1.0,1.0
14000US34017015002,1.0,1.0,1.0
14000US34017014400,1.0,1.0,1.0
14000US36061005700,6.0,6.0,5.0
14000US34013011700,1.0,1.0,1.0
14000US36047024100,7.0,7.0,6.0
14000US36047002100,2.0,2.0,2.0
14000US36047027500,5.0,8.0,4.0
14000US36061003700,8.0,9.0,2.0
14000US36119006700,9.0,10.0,7.0
14000US36119009400,9.0,10.0,7.0
14000US34017004102,1.0,1.0,1.0
14000US34017006500,1.0,1.0,1.0
14000US34025808800,1.0,1.0,1.0
14000US34029723200,1.0,1.0,1.0
14000US36047013100,2.0,2.0,2.0
14000US36047012901,2.0,2.0,2.0
14000US34013017700,1.0,1.0,1.0
14000US34039033500,1.0,1.0,1.0
14000US36061013500,6.0,6.0,8.0
14000US36081094202,1.0,1.0,1.0
14000US34023007702,1.0,1.0,1.0
14000US36005028500,9.0,10.0,7.0
14000US36061005501,2.0,2.0,2.0
14000US36047022200,2.0,2.0,2.0
14000US34023007301,1.0,1.0,1.0
14000US34029735001,1.0,1.0,1.0
14000US36061005600,2.0,2.0,2.0
14000US36047029700,2.0,2.0,2.0
14000US36103158900,10.0,2.0,9.0
14000US36103158704,10.0,2.0,9.0
14000US34013002300,1.0,1.0,1.0
14000US34013001700,1.0,1.0,1.0
14000US34017000700,1.0,1.0,1.0
14000US36047057900,2.0,2.0,2.0
14000US34023008208,1.0,1.0,1.0
14000US36081076902,10.0,2.0,9.0
14000US34023000608,1.0,1.0,1.0
14000US34023009400,1.0,1.0,1.0
14000US34017004900,1.0,1.0,1.0
14000US34017002700,1.0,1.0,1.0
14000US36087013100,9.0,10.0,2.0
14000US36103190604,6.0,6.0,8.0
14000US34013001500,1.0,1.0,1.0
14000US34013004500,1.0,1.0,1.0
14000US34013010400,1.0,1.0,1.0
14000US34013000600,1.0,1.0,1.0
14000US36061007500,2.0,2.0,2.0
14000US36103200901,2.0,2.0,2.0
14000US36047006000,2.0,2.0,2.0
14000US36047005900,2.0,2.0,2.0
14000US34027041000,1.0,1.0,1.0
14000US34003044202,1.0,1.0,1.0
14000US36081094203,6.0,6.0,2.0
14000US36047070600,6.0,6.0,7.0
14000US36061003800,11.0,11.0,10.0
14000US36061005400,2.0,2.0,2.0
14000US36047000301,2.0,2.0,2.0
14000US36047018100,2.0,2.0,2.0
14000US34025806600,1.0,1.0,1.0
14000US34025807900,1.0,1.0,1.0
14000US34029735002,1.0,1.0,1.0
14000US36061010100,12.0,12.0,11.0
14000US34023005200,1.0,1.0,1.0
14000US34029734003,1.0,1.0,1.0
14000US34023001505,1.0,1.0,1.0
14000US34013012400,1.0,1.0,1.0
14000US36061009200,9.0,10.0,12.0
14000US36061012000,13.0,13.0,12.0
14000US34003011400,1.0,1.0,1.0
14000US34027040101,1.0,1.0,1.0
14000US36061015400,14.0,14.0,13.0
14000US34013014200,1.0,1.0,1.0
14000US36027110005,1.0,1.0,1.0
14000US36103169704,10.0,2.0,9.0
14000US36061010601,9.0,9.0,7.0
14000US34013023100,1.0,1.0,1.0
14000US34013023000,1.0,1.0,1.0
14000US36061026900,13.0,15.0,14.0
