geoid,0,1,2
14000US36005021800,1.0,1.0,1.0
14000US36005026500,1.0,1.0,1.0
14000US36047016000,2.0,2.0,2.0
14000US36047054400,3.0,1.0,3.0
14000US34035050500,4.0,3.0,4.0
14000US34035053705,4.0,3.0,4.0
14000US36103158512,3.0,4.0,3.0
14000US36081126700,3.0,4.0,3.0
14000US36047039100,5.0,5.0,5.0
14000US36061004100,6.0,6.0,6.0
14000US36119002202,1.0,1.0,1.0
14000US36119006801,1.0,1.0,1.0
14000US36005036100,1.0,1.0,2.0
14000US36005023501,7.0,7.0,7.0
14000US34013021802,4.0,3.0,4.0
14000US34027040805,4.0,3.0,4.0
14000US34029717200,4.0,3.0,4.0
14000US34029717502,4.0,3.0,4.0
14000US36061021000,6.0,8.0,1.0
14000US36061013100,8.0,1.0,8.0
14000US34003024200,4.0,3.0,4.0
14000US34003014000,4.0,3.0,4.0
14000US34029720203,4.0,3.0,4.0
14000US34025808701,4.0,3.0,4.0
14000US36059520402,3.0,4.0,3.0
14000US36103123201,3.0,4.0,3.0
14000US36103134904,3.0,4.0,3.0
14000US36103110501,3.0,4.0,3.0
14000US36059405900,3.0,4.0,3.0
14000US36081155102,3.0,4.0,3.0
14000US34023007910,4.0,3.0,4.0
14000US34023005100,4.0,3.0,4.0
14000US34025802400,4.0,3.0,4.0
14000US34013019200,4.0,3.0,4.0
14000US34025810003,4.0,3.0,4.0
14000US36061011300,1.0,4.0,3.0
14000US36085022600,2.0,2.0,2.0
14000US36085002001,2.0,2.0,2.0
14000US36081137700,3.0,4.0,3.0
14000US36061003800,7.0,9.0,9.0
14000US36061013500,3.0,2.0,1.0
14000US36061009900,9.0,10.0,10.0
14000US36103123900,3.0,4.0,3.0
14000US36103158007,3.0,4.0,3.0
14000US36005007800,1.0,1.0,11.0
14000US36061002100,1.0,1.0,12.0
14000US36047051001,1.0,1.0,3.0
14000US34035050903,4.0,3.0,4.0
14000US34035050802,4.0,3.0,4.0
14000US34039037100,4.0,3.0,4.0
14000US34039036200,4.0,3.0,4.0
14000US36119009701,1.0,1.0,1.0
14000US36119008800,1.0,1.0,1.0
14000US36061024700,10.0,11.0,8.0
14000US36061005200,1.0,12.0,1.0
14000US36061010200,1.0,1.0,3.0
14000US36061025500,7.0,7.0,13.0
14000US34017005801,4.0,3.0,14.0
14000US34017007600,4.0,3.0,14.0
14000US36103124602,3.0,4.0,3.0
14000US36047001100,2.0,2.0,2.0
14000US34017017900,4.0,3.0,4.0
14000US36085014607,2.0,2.0,2.0
14000US36085011202,2.0,2.0,2.0
14000US36047055500,11.0,13.0,15.0
14000US36061007300,2.0,2.0,16.0
14000US36103158317,3.0,4.0,3.0
14000US36071015100,1.0,1.0,1.0
14000US34003019202,4.0,3.0,4.0
14000US34003003200,4.0,3.0,4.0
14000US34003015100,4.0,3.0,4.0
14000US36061003200,12.0,14.0,17.0
14000US34031246101,4.0,3.0,4.0
14000US36061011900,10.0,4.0,3.0
14000US36047061004,3.0,1.0,3.0
14000US34031182500,4.0,3.0,4.0
14000US34017001900,4.0,3.0,4.0
14000US34029736102,4.0,3.0,4.0
14000US34029734003,4.0,3.0,4.0
14000US34031175401,13.0,15.0,18.0
14000US34013022900,4.0,3.0,4.0
14000US36047087800,3.0,16.0,3.0
14000US36059404800,3.0,4.0,3.0
14000US34003042500,4.0,3.0,4.0
14000US36103158605,3.0,4.0,3.0
14000US36103158604,3.0,4.0,3.0
14000US34031154001,4.0,3.0,4.0
14000US34039035900,4.0,3.0,4.0
14000US34027042000,4.0,3.0,4.0
14000US36047061002,2.0,7.0,2.0
14000US36081077300,14.0,8.0,2.0
14000US36061012500,14.0,8.0,1.0
14000US36081000100,1.0,1.0,1.0
14000US36119012102,1.0,1.0,1.0
14000US36005019400,1.0,1.0,1.0
14000US36027060400,1.0,1.0,1.0
14000US36027220300,1.0,1.0,1.0
14000US34025808600,4.0,3.0,4.0
14000US34025800800,4.0,3.0,4.0
14000US36005035800,1.0,4.0,1.0
14000US34029721000,4.0,3.0,4.0
14000US34029720202,4.0,3.0,4.0
14000US34023007703,4.0,3.0,4.0
14000US34017007100,4.0,3.0,14.0
14000US34003018100,4.0,3.0,4.0
14000US36061009300,14.0,17.0,7.0
14000US36061010100,3.0,4.0,3.0
14000US36061018200,15.0,18.0,19.0
14000US34003012001,4.0,3.0,4.0
14000US36103122902,3.0,4.0,3.0
14000US36103122300,3.0,4.0,3.0
14000US34025809000,4.0,3.0,4.0
14000US34039033500,4.0,3.0,4.0
14000US34003001000,4.0,3.0,4.0
14000US34027041803,4.0,3.0,4.0
14000US36061007200,12.0,16.0,20.0
14000US36061005700,15.0,17.0,7.0
14000US36061001502,16.0,18.0,21.0
14000US34027040102,4.0,3.0,4.0
14000US34031246300,4.0,3.0,4.0
14000US34031175301,4.0,3.0,4.0
14000US34017007700,4.0,3.0,14.0
14000US34025804800,4.0,3.0,4.0
14000US34025806504,4.0,3.0,4.0
14000US34003010300,4.0,3.0,4.0
14000US34031246003,4.0,3.0,4.0
14000US34029735002,4.0,3.0,4.0
14000US34029732103,4.0,3.0,4.0
14000US36061004400,17.0,19.0,22.0
14000US36047001300,1.0,1.0,3.0
14000US36103122601,3.0,4.0,3.0
14000US36103201100,3.0,4.0,3.0
14000US36059413900,3.0,4.0,3.0
14000US36081122702,3.0,4.0,3.0
14000US36061000800,18.0,4.0,23.0
14000US36081015500,5.0,20.0,24.0
14000US36061007400,3.0,1.0,3.0
14000US36103135104,3.0,4.0,3.0
14000US36103112001,3.0,4.0,3.0
14000US36005009800,1.0,1.0,1.0
14000US36061017200,2.0,2.0,20.0
14000US36103159102,3.0,4.0,3.0
14000US36103135002,3.0,4.0,3.0
14000US34023008001,4.0,3.0,4.0
14000US34023003800,4.0,3.0,4.0
14000US34029713402,4.0,3.0,4.0
14000US34025803600,4.0,3.0,4.0
14000US36047013900,19.0,21.0,12.0
14000US36047010200,3.0,4.0,2.0
14000US36071013500,1.0,1.0,1.0
14000US36119009400,1.0,1.0,1.0
14000US36059415101,3.0,4.0,3.0
14000US36059407301,3.0,4.0,3.0
14000US36061001300,1.0,2.0,1.0
14000US36061011600,1.0,2.0,7.0
14000US36103201003,3.0,4.0,3.0
14000US36061009100,20.0,5.0,3.0
14000US36059412000,3.0,4.0,3.0
14000US36061009600,1.0,7.0,2.0
14000US34039033000,4.0,3.0,4.0
14000US36061020800,3.0,4.0,3.0
14000US36059410800,3.0,4.0,3.0
14000US36059302800,3.0,4.0,3.0
14000US36047038100,21.0,16.0,24.0
14000US36061013700,12.0,2.0,2.0
14000US36061002201,22.0,16.0,20.0
14000US34031124402,4.0,3.0,4.0
14000US36005004100,1.0,1.0,1.0
14000US36047019300,23.0,1.0,25.0
14000US36005021002,2.0,2.0,21.0
14000US36061007600,1.0,1.0,3.0
14000US36061014700,3.0,4.0,3.0
14000US34003026200,4.0,3.0,4.0
14000US34023007600,4.0,3.0,4.0
14000US34025806202,4.0,3.0,4.0
14000US34013005000,4.0,22.0,26.0
14000US34013003500,4.0,22.0,26.0
14000US34031196402,4.0,3.0,4.0
14000US34003042400,4.0,3.0,4.0
14000US36103145603,3.0,4.0,3.0
14000US36071000200,1.0,1.0,1.0
14000US36071000300,1.0,1.0,1.0
14000US34017019800,4.0,3.0,4.0
14000US34017014800,4.0,3.0,4.0
14000US34035053200,4.0,3.0,4.0
14000US34031246103,4.0,3.0,4.0
14000US36005033400,10.0,1.0,1.0
14000US36005007500,2.0,2.0,1.0
14000US34029722701,4.0,3.0,4.0
14000US34029731103,4.0,3.0,4.0
14000US36047013700,1.0,21.0,13.0
14000US36061008400,1.0,1.0,10.0
14000US34031182000,4.0,3.0,4.0
14000US34003032102,4.0,3.0,4.0
14000US36061013200,24.0,4.0,27.0
14000US36061012100,21.0,23.0,28.0
14000US34003060000,4.0,3.0,4.0
14000US36081028500,1.0,12.0,10.0
14000US36047055300,25.0,24.0,29.0
14000US36061006300,26.0,21.0,13.0
14000US36103145903,3.0,4.0,3.0
14000US36103145805,3.0,4.0,3.0
14000US34023001803,4.0,3.0,4.0
14000US34035052201,4.0,3.0,4.0
14000US36061025300,1.0,25.0,11.0
14000US36059411901,3.0,4.0,3.0
14000US36059411800,3.0,4.0,3.0
14000US34025800200,4.0,3.0,4.0
14000US34025800702,4.0,3.0,4.0
14000US36103122802,3.0,4.0,3.0
14000US36047101600,16.0,13.0,30.0
14000US36103146800,3.0,4.0,3.0
14000US34029713900,4.0,3.0,4.0
14000US36119000201,1.0,1.0,1.0
14000US36081098100,3.0,4.0,3.0
14000US36081003300,27.0,23.0,31.0
14000US34039036000,4.0,3.0,4.0
14000US36087010501,1.0,1.0,1.0
14000US36087010200,1.0,1.0,1.0
14000US34031143200,4.0,3.0,4.0
14000US34013008000,4.0,3.0,4.0
14000US34039032800,4.0,22.0,4.0
14000US34027043301,4.0,3.0,4.0
14000US36061003300,12.0,1.0,2.0
14000US36061007900,5.0,5.0,19.0
14000US36059410500,3.0,4.0,3.0
14000US36061011100,3.0,26.0,3.0
14000US36005007000,8.0,27.0,10.0
14000US36005022500,8.0,1.0,1.0
14000US36005024502,1.0,1.0,1.0
14000US36061009800,28.0,23.0,1.0
14000US36061011500,4.0,3.0,4.0
14000US36061012700,9.0,28.0,32.0
14000US36061001200,29.0,29.0,33.0
14000US36103123002,3.0,4.0,3.0
14000US36059980100,3.0,4.0,3.0
14000US34037374800,4.0,3.0,4.0
14000US34027045502,4.0,3.0,4.0
14000US36061005501,28.0,23.0,34.0
14000US34013980200,4.0,3.0,4.0
14000US36061003100,20.0,1.0,1.0
14000US36103146705,3.0,4.0,3.0
14000US36103147100,3.0,4.0,3.0
14000US34031223802,4.0,3.0,4.0
14000US34031133701,4.0,3.0,4.0
14000US34025803400,4.0,3.0,4.0
14000US34025802900,4.0,3.0,4.0
14000US34003061400,4.0,3.0,4.0
14000US36005035100,1.0,1.0,4.0
14000US36103200902,3.0,4.0,3.0
14000US36103190401,3.0,4.0,3.0
14000US34025802700,4.0,3.0,4.0
14000US34025803000,4.0,3.0,4.0
14000US34017012500,4.0,3.0,4.0
14000US34013007600,4.0,22.0,4.0
14000US34013020400,4.0,3.0,4.0
14000US36103112211,3.0,4.0,3.0
14000US36103135101,3.0,4.0,3.0
14000US36103111202,3.0,4.0,3.0
14000US36103111900,3.0,4.0,3.0
14000US34003061300,4.0,3.0,4.0
14000US34003023100,4.0,3.0,4.0
14000US36103159108,3.0,4.0,3.0
14000US36103158709,3.0,4.0,3.0
14000US34013010700,4.0,22.0,26.0
14000US34017004900,4.0,3.0,14.0
14000US36081051500,30.0,10.0,3.0
14000US36047048500,9.0,10.0,16.0
14000US36059408300,3.0,4.0,3.0
14000US36059519100,3.0,4.0,3.0
14000US34031182100,4.0,3.0,4.0
14000US34031180900,4.0,3.0,4.0
14000US36005027900,6.0,1.0,2.0
14000US36119014000,1.0,1.0,1.0
14000US36119014100,1.0,1.0,1.0
14000US34003003500,4.0,3.0,4.0
14000US34003045200,4.0,3.0,4.0
14000US36081077903,3.0,4.0,3.0
14000US36081021400,3.0,4.0,3.0
14000US34027044502,4.0,3.0,4.0
14000US34027045100,4.0,3.0,4.0
14000US36005011900,10.0,28.0,2.0
14000US36005026702,10.0,28.0,32.0
14000US36119000900,1.0,1.0,1.0
14000US36119000701,1.0,1.0,1.0
14000US36061022400,10.0,25.0,11.0
14000US36061005800,3.0,4.0,3.0
14000US36047017100,31.0,24.0,20.0
14000US36061004300,32.0,30.0,6.0
14000US36047049100,33.0,5.0,35.0
14000US36061001402,13.0,5.0,12.0
14000US36085007400,2.0,2.0,2.0
14000US36047026000,2.0,2.0,2.0
14000US34025810502,4.0,3.0,4.0
14000US36119002402,1.0,1.0,1.0
14000US34017007300,4.0,3.0,14.0
14000US34017010500,4.0,3.0,14.0
14000US34003038200,4.0,3.0,4.0
14000US34027041902,4.0,3.0,4.0
14000US36081130100,3.0,4.0,3.0
14000US36081003800,1.0,4.0,10.0
14000US36061021800,25.0,24.0,19.0
14000US36005030900,1.0,1.0,1.0
14000US36071014600,1.0,1.0,1.0
14000US34013014500,4.0,3.0,4.0
14000US34017014200,4.0,3.0,4.0
14000US34031124312,4.0,3.0,4.0
14000US34029736105,4.0,3.0,4.0
14000US36081027500,9.0,23.0,32.0
14000US36081041500,9.0,23.0,32.0
14000US34003059100,4.0,3.0,4.0
14000US34003049002,4.0,3.0,4.0
14000US36103135209,3.0,4.0,3.0
14000US34025810800,4.0,3.0,4.0
14000US34025809701,4.0,3.0,4.0
14000US34031182302,4.0,3.0,4.0
14000US34025807003,4.0,3.0,4.0
14000US34025811000,4.0,3.0,4.0
14000US34023000100,4.0,3.0,4.0
14000US34029720101,4.0,3.0,4.0
14000US36005041400,1.0,1.0,3.0
14000US36081033402,34.0,1.0,9.0
14000US34031133702,4.0,3.0,4.0
14000US34031180800,4.0,3.0,4.0
14000US36061016900,20.0,15.0,11.0
14000US36061005900,35.0,31.0,23.0
14000US36047050400,6.0,32.0,1.0
14000US36071011300,1.0,1.0,1.0
14000US36071000400,1.0,1.0,1.0
14000US36119014809,1.0,1.0,1.0
14000US36005028500,3.0,4.0,3.0
14000US36081162100,3.0,4.0,3.0
14000US36061031704,17.0,4.0,17.0
14000US34003032201,4.0,3.0,4.0
14000US36027210201,1.0,1.0,1.0
14000US34017019900,4.0,3.0,4.0
14000US34017004000,4.0,3.0,14.0
14000US34003042302,4.0,3.0,4.0
14000US34017001100,36.0,28.0,36.0
14000US36061010900,3.0,4.0,3.0
14000US34013014600,4.0,22.0,4.0
14000US36103158510,3.0,4.0,3.0
14000US36103158110,3.0,4.0,3.0
14000US34037371100,4.0,3.0,4.0
